,cost_rank,smoky,peaty,spicy,herbal,oily,full_bodied,rich,sweet,salty,vanilla,tart,fruity,floral
1084,5.0,60.0,10.0,60.0,10.0,40.0,70.0,80.0,80.0,10.0,80.0,30.0,70.0,40.0
1085,3.0,50.0,10.0,50.0,20.0,30.0,60.0,80.0,90.0,30.0,50.0,40.0,80.0,30.0
1086,3.0,100.0,0.0,80.0,30.0,70.0,90.0,100.0,30.0,40.0,20.0,0.0,50.0,0.0
1087,2.0,20.0,10.0,40.0,10.0,20.0,60.0,70.0,70.0,10.0,70.0,40.0,80.0,30.0
1088,4.0,40.0,20.0,60.0,40.0,50.0,70.0,60.0,70.0,20.0,50.0,40.0,70.0,20.0
1089,3.0,20.0,0.0,50.0,0.0,20.0,70.0,70.0,80.0,0.0,60.0,50.0,80.0,30.0
1090,2.0,0.0,0.0,15.0,0.0,10.0,80.0,80.0,85.0,0.0,40.0,10.0,25.0,0.0
1091,4.0,20.0,0.0,55.0,30.0,60.0,40.0,60.0,70.0,10.0,35.0,30.0,60.0,55.0
1092,5.0,20.0,30.0,55.0,10.0,50.0,60.0,65.0,10.0,35.0,10.0,20.0,35.0,5.0
1093,5.0,30.0,30.0,60.0,40.0,70.0,80.0,70.0,70.0,40.0,60.0,40.0,70.0,40.0
1094,4.0,30.0,0.0,50.0,30.0,30.0,60.0,70.0,70.0,0.0,60.0,40.0,70.0,20.0
1095,4.0,40.0,10.0,50.0,20.0,40.0,70.0,80.0,90.0,30.0,70.0,40.0,80.0,60.0
1096,3.0,20.0,15.0,60.0,20.0,20.0,70.0,70.0,80.0,50.0,70.0,40.0,80.0,70.0
1097,3.0,70.0,80.0,40.0,50.0,80.0,60.0,50.0,40.0,40.0,50.0,40.0,50.0,20.0
1098,2.0,0.0,0.0,25.0,0.0,0.0,70.0,70.0,70.0,0.0,15.0,0.0,10.0,5.0
1099,3.0,35.0,30.0,60.0,20.0,60.0,70.0,75.0,30.0,20.0,15.0,10.0,35.0,0.0
1100,5.0,75.0,40.0,20.0,35.0,50.0,45.0,60.0,30.0,25.0,20.0,25.0,30.0,25.0
1101,4.0,50.0,50.0,40.0,20.0,50.0,60.0,60.0,50.0,30.0,30.0,40.0,60.0,80.0
1102,3.0,20.0,10.0,50.0,30.0,30.0,50.0,60.0,70.0,10.0,50.0,50.0,70.0,20.0
1103,2.0,60.0,0.0,70.0,50.0,60.0,70.0,60.0,50.0,30.0,30.0,40.0,50.0,50.0
